step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
8,bot4,1,0.039000,0,0,8,8,-0.798197,3.617110,0.000000
8,bot5,1,0.070000,0,0,8,8,-0.079964,3.508120,0.000000
8,bot6,1,0.034000,0,0,8,8,-0.032276,3.665000,0.000000
8,bot7,1,0.038000,0,0,8,8,0.198376,3.876670,0.000000
8,bot8,1,0.037000,0,0,8,8,-0.247800,3.770274,0.000000
8,bot9,1,0.110000,0,0,8,8,0.290902,3.049577,0.000000
9,bot0,1,0.030000,0,0,9,9,-0.608034,3.179920,0.000000
9,bot1,1,0.068000,0,0,9,9,0.192976,3.498995,0.000000
9,bot2,1,0.038000,0,0,9,9,0.478591,3.998680,0.000000
9,bot3,1,0.152000,0,0,9,9,-0.264098,3.063141,0.000000
9,bot4,1,0.046000,0,0,9,9,-0.798197,3.617110,0.000000
9,bot5,1,0.073000,0,0,9,9,-0.086764,3.512500,0.000000
9,bot6,1,0.035000,0,0,9,9,-0.032276,3.665000,0.000000
9,bot7,1,0.041000,0,0,9,9,0.198376,3.876670,0.000000
9,bot8,1,0.054000,0,0,9,9,-0.243294,3.779105,0.000000
9,bot9,1,0.065000,0,0,9,9,0.296528,3.057751,0.000000
10,bot0,1,0.026000,0,0,10,10,-0.608034,3.179920,0.000000
10,bot1,1,0.068000,0,0,10,10,0.196706,3.508179,0.000000
10,bot2,1,0.043000,0,0,10,10,0.478591,3.998680,0.000000
10,bot3,1,0.108000,0,0,10,10,-0.256147,3.069103,0.000000
10,bot4,1,0.054000,0,0,10,10,-0.798197,3.617110,0.000000
10,bot5,1,0.070000,0,0,10,10,-0.094666,3.518216,0.000000
10,bot6,1,0.032000,0,0,10,10,-0.032294,3.665288,0.000000
10,bot7,1,0.032000,0,0,10,10,0.198376,3.876670,0.000000
10,bot8,1,0.050000,0,0,10,10,-0.239128,3.788099,0.000000
10,bot9,1,0.104000,0,0,10,10,0.301721,3.066202,0.000000
11,bot0,1,0.031000,0,0,11,11,-0.608034,3.179920,0.000000
11,bot1,1,0.067000,0,0,11,11,0.200127,3.517480,0.000000
11,bot2,1,0.050000,0,0,11,11,0.478591,3.998680,0.000000
11,bot3,1,0.123000,0,0,11,11,-0.248654,3.075623,0.000000
11,bot4,1,0.092000,0,0,11,11,-0.798197,3.617110,0.000000
11,bot5,1,0.065000,0,0,11,11,-0.102070,3.522916,0.000000
11,bot6,1,0.036000,0,0,11,11,-0.032341,3.666669,0.000000
11,bot7,1,0.034000,0,0,11,11,0.198376,3.876670,0.000000
11,bot8,1,0.030000,0,0,11,11,-0.235276,3.797232,0.000000
11,bot9,1,0.150000,0,0,11,11,0.306505,3.074890,0.000000
12,bot0,1,0.085000,0,0,12,12,-0.608034,3.179920,0.000000
12,bot1,1,0.073000,0,0,12,12,0.203260,3.526882,0.000000
12,bot2,1,0.048000,0,0,12,12,0.478591,3.998680,0.000000
12,bot3,1,0.123000,0,0,12,12,-0.241609,3.082620,0.000000
12,bot4,1,0.056000,0,0,12,12,-0.798197,3.617110,0.000000
12,bot5,1,0.066000,0,0,12,12,-0.109098,3.527758,0.000000
12,bot6,1,0.034000,0,0,12,12,-0.032321,3.667896,0.000000
12,bot7,1,0.038000,0,0,12,12,0.191339,3.880675,0.000000
12,bot8,1,0.036000,0,0,12,12,-0.231717,3.806481,0.000000
12,bot9,1,0.072000,0,0,12,12,0.310901,3.083778,0.000000
13,bot0,1,0.030000,0,0,13,13,-0.608034,3.179920,0.000000
13,bot1,1,0.070000,0,0,13,13,0.206126,3.536368,0.000000
13,bot2,1,0.040000,0,0,13,13,0.478591,3.998680,0.000000
13,bot3,1,0.101000,0,0,13,13,-0.235003,3.090027,0.000000
13,bot4,1,0.048000,0,0,13,13,-0.798197,3.617110,0.000000
13,bot5,1,0.064000,0,0,13,13,-0.115605,3.535051,0.000000
13,bot6,1,0.035000,0,0,13,13,-0.025280,3.672243,0.000000
13,bot7,1,0.054000,0,0,13,13,0.183145,3.886313,0.000000
13,bot8,1,0.037000,0,0,13,13,-0.228428,3.815828,0.000000
13,bot9,1,0.039000,0,0,13,13,0.314934,3.092835,0.000000
14,bot0,1,0.069000,0,0,14,14,-0.608034,3.179920,0.000000
14,bot1,1,0.121000,0,0,14,14,0.208743,3.545924,0.000000
14,bot2,1,0.040000,0,0,14,14,0.478591,3.998680,0.000000
14,bot3,1,0.127000,0,0,14,14,-0.228819,3.097791,0.000000
14,bot4,1,0.058000,0,0,14,14,-0.798197,3.617110,0.000000
14,bot5,1,0.076000,0,0,14,14,-0.121618,3.542949,0.000000
14,bot6,1,0.037000,0,0,14,14,-0.017178,3.678017,0.000000
14,bot7,1,0.041000,0,0,14,14,0.175456,3.892613,0.000000
14,bot8,1,0.059000,0,0,14,14,-0.225387,3.825258,0.000000
14,bot9,1,0.082000,0,0,14,14,0.318626,3.102035,0.000000
15,bot0,1,0.071000,0,0,15,15,-0.608034,3.179920,0.000000
15,bot1,1,0.109000,0,0,15,15,0.211129,3.555540,0.000000
15,bot2,1,0.055000,0,0,15,15,0.478591,3.998680,0.000000
15,bot3,1,0.141000,0,0,15,15,-0.223074,3.105877,0.000000
15,bot4,1,0.060000,0,0,15,15,-0.798197,3.617110,0.000000
15,bot5,1,0.134000,0,0,15,15,-0.127154,3.551180,0.000000
15,bot6,1,0.052000,0,0,15,15,-0.009598,3.684451,0.000000
15,bot7,1,0.043000,0,0,15,15,0.168273,3.899468,0.000000
15,bot8,1,0.043000,0,0,15,15,-0.222576,3.834758,0.000000
15,bot9,1,0.047000,0,0,15,15,0.321978,3.111362,0.000000
16,bot0,1,0.041000,0,0,16,16,-0.608034,3.179920,0.000000
16,bot1,1,0.070000,0,0,16,16,0.213303,3.565206,0.000000
16,bot2,1,0.042000,0,0,16,16,0.478591,3.998680,0.000000
