step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
1,bot0,1,0.017000,0,0,1,1,-0.608034,3.179920,0.000000
1,bot1,1,0.041000,0,0,1,1,0.157661,3.441710,0.000000
1,bot2,1,0.021000,0,0,1,1,0.478591,3.998680,0.000000
1,bot3,1,0.027000,0,0,1,1,-0.288873,3.050240,0.000000
1,bot4,1,0.015000,0,0,1,1,-0.798197,3.617110,0.000000
1,bot5,1,0.013000,0,0,1,1,-0.079964,3.508120,0.000000
1,bot6,1,0.035000,0,0,1,1,-0.032276,3.665000,0.000000
1,bot7,1,0.041000,0,0,1,1,0.198376,3.876670,0.000000
1,bot8,1,0.042000,0,0,1,1,-0.281865,3.723990,0.000000
1,bot9,1,0.001000,0,0,1,1,0.248889,3.010510,0.000000
1,bot10,1,0.020000,0,0,1,1,0.655286,3.593900,0.000000
1,bot11,1,0.030000,0,0,1,1,-0.820560,3.157210,0.000000
1,bot12,1,0.020000,0,0,1,1,-0.985790,3.493440,0.000000
1,bot13,1,0.054000,0,0,1,1,-0.297525,3.996300,0.000000
1,bot14,1,0.026000,0,0,1,1,-0.298138,3.495610,0.000000
1,bot15,1,0.031000,0,0,1,1,-0.802112,3.342280,0.000000
1,bot16,1,0.018000,0,0,1,1,0.439690,3.290590,0.000000
1,bot17,1,0.029000,0,0,1,1,0.919474,3.040430,0.000000
1,bot18,1,0.019000,0,0,1,1,-0.947116,3.039660,0.000000
1,bot19,1,0.030000,0,0,1,1,0.768999,3.899960,0.000000
2,bot0,1,0.012000,0,0,2,2,-0.608019,3.171861,0.000000
2,bot1,1,0.027000,0,0,2,2,0.162862,3.447866,0.000000
2,bot2,1,0.042000,0,0,2,2,0.478084,3.990637,0.000000
2,bot3,1,0.027000,0,0,2,2,-0.280853,3.049450,0.000000
2,bot4,1,0.034000,0,0,2,2,-0.799701,3.609194,0.000000
2,bot5,1,0.025000,0,0,2,2,-0.087912,3.506794,0.000000
2,bot6,1,0.033000,0,0,2,2,-0.026136,3.659781,0.000000
2,bot7,1,0.020000,0,0,2,2,0.191703,3.872152,0.000000
2,bot8,1,0.025000,0,0,2,2,-0.276274,3.729794,0.000000
2,bot9,1,0.000000,0,0,2,2,0.255684,3.014842,0.000000
2,bot10,1,0.019000,0,0,2,2,0.661877,3.589262,0.000000
2,bot11,1,0.029000,0,0,2,2,-0.827484,3.153086,0.000000
2,bot12,1,0.018000,0,0,2,2,-0.979095,3.488954,0.000000
2,bot13,1,0.013000,0,0,2,2,-0.294972,4.003944,0.000000
2,bot14,1,0.027000,0,0,2,2,-0.292138,3.490231,0.000000
2,bot15,1,0.032000,0,0,2,2,-0.806825,3.335743,0.000000
2,bot16,1,0.000000,0,0,2,2,0.432085,3.293253,0.000000
2,bot17,1,0.023000,0,0,2,2,0.923512,3.047404,0.000000
2,bot18,1,0.000000,0,0,2,2,-0.954931,3.037697,0.000000
2,bot19,1,0.019000,0,0,2,2,0.766842,3.907724,0.000000
3,bot0,1,0.000000,0,0,3,3,-0.608016,3.170015,0.000000
3,bot1,1,0.025000,0,0,3,3,0.169182,3.455521,0.000000
