step,robot_id,lockstep,wait_ms,command_latency_steps,stale_command_ticks,current_step_index,last_command_step_index,pos_x,pos_y,pos_z
8,bot4,1,0.000000,0,0,8,8,-0.800046,3.607379,0.000000
8,bot5,1,0.000000,0,0,8,8,-0.089733,3.506489,0.000000
8,bot6,1,0.000000,0,0,8,8,-0.024729,3.658584,0.000000
8,bot7,1,0.001000,0,0,8,8,0.190174,3.871117,0.000000
8,bot8,1,0.000000,0,0,8,8,-0.240931,3.777415,0.000000
8,bot9,1,0.000000,0,0,8,8,0.298879,3.055268,0.000000
9,bot0,1,0.001000,0,0,9,9,-0.608016,3.170015,0.000000
9,bot1,1,0.000000,0,0,9,9,0.198901,3.506820,0.000000
9,bot2,1,0.000000,0,0,9,9,0.477968,3.988795,0.000000
9,bot3,1,0.000000,0,0,9,9,-0.263752,3.058866,0.000000
9,bot4,1,0.001000,0,0,9,9,-0.800046,3.607379,0.000000
9,bot5,1,0.000000,0,0,9,9,-0.096541,3.510873,0.000000
9,bot6,1,0.000000,0,0,9,9,-0.024729,3.658584,0.000000
9,bot7,1,0.001000,0,0,9,9,0.190174,3.871117,0.000000
9,bot8,1,0.001000,0,0,9,9,-0.236428,3.786247,0.000000
9,bot9,1,0.005000,0,0,9,9,0.304303,3.063580,0.000000
10,bot0,1,0.004000,0,0,10,10,-0.608016,3.170015,0.000000
10,bot1,1,0.001000,0,0,10,10,0.202454,3.516074,0.000000
10,bot2,1,0.001000,0,0,10,10,0.477968,3.988795,0.000000
10,bot3,1,0.001000,0,0,10,10,-0.256040,3.065138,0.000000
10,bot4,1,0.000000,0,0,10,10,-0.800046,3.607379,0.000000
10,bot5,1,0.001000,0,0,10,10,-0.104416,3.516947,0.000000
10,bot6,1,0.000000,0,0,10,10,-0.024729,3.658584,0.000000
10,bot7,1,0.000000,0,0,10,10,0.190174,3.871117,0.000000
10,bot8,1,0.000000,0,0,10,10,-0.232265,3.795244,0.000000
10,bot9,1,0.000000,0,0,10,10,0.309262,3.072173,0.000000
11,bot0,1,0.000000,0,0,11,11,-0.608016,3.170015,0.000000
11,bot1,1,0.000000,0,0,11,11,0.205680,3.525446,0.000000
11,bot2,1,0.000000,0,0,11,11,0.477968,3.988795,0.000000
11,bot3,1,0.000000,0,0,11,11,-0.248825,3.071968,0.000000
11,bot4,1,0.000000,0,0,11,11,-0.800046,3.607379,0.000000
11,bot5,1,0.001000,0,0,11,11,-0.111756,3.523649,0.000000
11,bot6,1,0.004000,0,0,11,11,-0.024729,3.658584,0.000000
11,bot7,1,0.000000,0,0,11,11,0.190174,3.871117,0.000000
11,bot8,1,0.000000,0,0,11,11,-0.228418,3.804378,0.000000
11,bot9,1,0.000000,0,0,11,11,0.313785,3.081000,0.000000
12,bot0,1,0.001000,0,0,12,12,-0.608016,3.170015,0.000000
12,bot1,1,0.000000,0,0,12,12,0.208606,3.534914,0.000000
12,bot2,1,0.001000,0,0,12,12,0.477968,3.988795,0.000000
12,bot3,1,0.000000,0,0,12,12,-0.242097,3.079272,0.000000
12,bot4,1,0.000000,0,0,12,12,-0.800046,3.607379,0.000000
12,bot5,1,0.000000,0,0,12,12,-0.118693,3.530059,0.000000
12,bot6,1,0.007000,0,0,12,12,-0.024605,3.659402,0.000000
12,bot7,1,0.000000,0,0,12,12,0.183136,3.875121,0.000000
12,bot8,1,0.000000,0,0,12,12,-0.224863,3.813629,0.000000
12,bot9,1,0.000000,0,0,12,12,0.317899,3.090022,0.000000
13,bot0,1,0.000000,0,0,13,13,-0.608016,3.170015,0.000000
13,bot1,1,0.000000,0,0,13,13,0.211254,3.544463,0.000000
13,bot2,1,0.000000,0,0,13,13,0.477968,3.988795,0.000000
13,bot3,1,0.000000,0,0,13,13,-0.235841,3.086978,0.000000
13,bot4,1,0.000000,0,0,13,13,-0.800046,3.607379,0.000000
13,bot5,1,0.000000,0,0,13,13,-0.125014,3.537626,0.000000
13,bot6,1,0.000000,0,0,13,13,-0.017529,3.663745,0.000000
13,bot7,1,0.000000,0,0,13,13,0.174943,3.880761,0.000000
13,bot8,1,0.000000,0,0,13,13,-0.221579,3.822978,0.000000
13,bot9,1,0.000000,0,0,13,13,0.321633,3.099207,0.000000
14,bot0,1,0.000000,0,0,14,14,-0.608016,3.170015,0.000000
14,bot1,1,0.000000,0,0,14,14,0.213647,3.554078,0.000000
14,bot2,1,0.005000,0,0,14,14,0.477968,3.988795,0.000000
14,bot3,1,0.000000,0,0,14,14,-0.230036,3.095026,0.000000
14,bot4,1,0.000000,0,0,14,14,-0.800046,3.607379,0.000000
14,bot5,1,0.000000,0,0,14,14,-0.130826,3.545672,0.000000
14,bot6,1,0.000000,0,0,14,14,-0.009427,3.669519,0.000000
14,bot7,1,0.000000,0,0,14,14,0.167256,3.887062,0.000000
14,bot8,1,0.000000,0,0,14,14,-0.218545,3.832410,0.000000
14,bot9,1,0.001000,0,0,14,14,0.325015,3.108525,0.000000
15,bot0,1,0.000000,0,0,15,15,-0.608016,3.170015,0.000000
15,bot1,1,0.000000,0,0,15,15,0.215804,3.563748,0.000000
15,bot2,1,0.021000,0,0,15,15,0.477968,3.988795,0.000000
15,bot3,1,0.000000,0,0,15,15,-0.224659,3.103362,0.000000
15,bot4,1,0.000000,0,0,15,15,-0.800046,3.607379,0.000000
15,bot5,1,0.000000,0,0,15,15,-0.136169,3.554031,0.000000
15,bot6,1,0.000000,0,0,15,15,-0.001849,3.675954,0.000000
15,bot7,1,0.000000,0,0,15,15,0.160071,3.893922,0.000000
15,bot8,1,0.000000,0,0,15,15,-0.215740,3.841912,0.000000
15,bot9,1,0.000000,0,0,15,15,0.328071,3.117953,0.000000
16,bot0,1,0.000000,0,0,16,16,-0.608016,3.170015,0.000000
